index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	विमल-		विमल-इन्द्रियता	विमल	विमल	कर्मधारयः,1.2	कर्मधारयः,1.2	CP		
1.2	इन्द्रियता		--	इन्द्रियता{तल्;स्त्री;1;एक}	इन्द्रियता{तल्;स्त्री;1;एक}	समुच्चितः,10.2	समुच्चितः,10.2	N1		
2.1	सर्गः		सर्गः	सर्ग{पुं;1;एक}	सर्ग{पुं;1;एक}	समुच्चितः,10.2	समुच्चितः,10.2	N1	छोड़ना	छोड़ना
3.1	मलानाम्		मलानाम्	मल{पुं;6;बहु}	मल{पुं;6;बहु}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,2.1	N6	मल_का	मल_का
4.1	लाघवम्		लाघवम्	लाघव{नपुं;1;एक}/लाघव{नपुं;2;एक}	लाघव{नपुं;1;एक}	समुच्चितः,10.2	समुच्चितः,10.2	N1	लघुता	लघुता
5.1	रुचिः		रुचिः	रुचि{स्त्री;1;एक}	रुचि{स्त्री;1;एक}	समुच्चितः,10.2	समुच्चितः,10.2	N1	रुचि	रुचि
6.1	क्षुत्-		क्षुत्-तृट्-सहोदयः	क्षुत्	क्षुत्	इतरेतर-द्वन्द्वः,6.2	इतरेतर-द्वन्द्वः,6.2	CP	क्षुत्-	क्षुत्-
6.2	तृट्-		--	तृट्	तृट्	षष्ठी-तत्पुरुषः,6.3	षष्ठी-तत्पुरुषः,6.3	CP	तृट्-	तृट्-
6.3	सहोदयः		--	सहोदय{पुं;1;एक}	सहोदय{पुं;1;एक}	समुच्चितः,10.2	समुच्चितः,10.2	N1	-	-
7.1	शुद्ध-		शुद्ध-हृदय-उद्गार-कण्ठता	शुद्ध	शुद्ध	कर्मधारयः,7.4	कर्मधारयः,7.4	CP	शुद्ध-	शुद्ध-
7.2	हृदय-		--	हृदय	हृदय	समाहार-द्वन्द्वः,7.4	समाहार-द्वन्द्वः,7.4	CP	हृदय-	हृदय-
7.3	उद्गार-		--	उद्गार(उत्_गॄ1;घञ्;तुदादिः)	उद्गार(उत्_गॄ1;घञ्;तुदादिः)	समाहार-द्वन्द्वः,7.4	समाहार-द्वन्द्वः,7.4	CP		
7.4	कण्ठता		--	कण्ठ{तल्;स्त्री;1;एक}	कण्ठ{तल्;स्त्री;1;एक}	समुच्चितः,10.2	समुच्चितः,10.2	N1	कण्ठ	कण्ठ
8.1	व्याधि-		व्याधि-मार्दवम्	व्याधि	व्याधि	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	CP	व्याधि-	व्याधि-
8.2	मार्दवम्		--	मार्दव{नपुं;1;एक}/मार्दव{नपुं;2;एक}/मार्दव{पुं;2;एक}	मार्दव{नपुं;1;एक}	समुच्चितः,10.2	कर्म,12.1#सुप्_समुच्चितः,10.2	N1	कोमलता	कोमलता
9.1	उत्साहः		उत्साहः	उत्साह{पुं;1;एक}	उत्साह{पुं;1;एक}	समुच्चितः,10.2	सुप्_समुच्चितः,10.2	N1	उत्साह	उत्साह
10.1	तन्द्रा-		तन्द्रा-नाशः	तन्द्रा	तन्द्रा	षष्ठी-तत्पुरुषः,10.2	षष्ठी-तत्पुरुषः,10.2	CP	तन्द्रा-	तन्द्रा-
10.2	नाशः		--	नाश{पुं;1;एक}	नाश{पुं;1;एक}	कर्ता,13.1	कर्ता,13.1	N1	नाश	नाश
11.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,10.2	सुप्_समुच्चय_द्योतकः,10.2#सम्बन्धः,10.2	NA	और	और
12.1	लङ्घिते		लङ्घिते	लङ्घित{नपुं;1;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घित{नपुं;2;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घिता{स्त्री;1;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घिता{स्त्री;2;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घित{नपुं;1;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घित{नपुं;2;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घिता{स्त्री;1;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घिता{स्त्री;2;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घित{पुं;7;एक(लघ्1;क्त;भ्वादिः)}	लङ्घित{पुं;7;एक(लघ्1;क्त;भ्वादिः)}	भावलक्षणसप्तमी_पूर्वकालः,13.1	भावलक्षणसप्तमी_पूर्वकालः,13.1	N7	कूदा_हुवे	कूदा_हुवे
13.1	(स्यात्)		स्यात्	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,10.2	अभिहित_कर्ता,10.2	KP		
14.1	.		.	-	-	-	-	FS	-	-
