index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	पानकम्	8.1	पानकम्	पानक{नपुं;2;एक}	पानक{नपुं;2;एक}	कर्म,10.1	विशेषणम्,2.2#कर्म,10.1	N2		
2.1	पञ्च-	7.1	पञ्च-सारम्	पञ्च}/पञ्चन्	पञ्च	समाहार-द्वन्द्वः,2.2	समाहार-द्वन्द्वः,2.2	CP	पञ्च-	पञ्च-
2.2	सारम्	7.2	--	सार{पुं;2;एक}/सार{नपुं;1;एक}/सार{नपुं;2;एक}	सार{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,5.1#कर्म,10.1#विशेषणम्,1.1	N2	आवश्यक_को	आवश्यक_को
3.1	वा	9.1	वा	वा{अव्य}	वा{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	वा	वा
4.1	नव-	2.1	नव-मृद्-भाजनैः	नव}/नवन्	नव	कर्मधारयः,4.2	कर्मधारयः,4.2	CP	नव-	नव-
4.2	मृद्-	2.2	--	-मृद्	-मृद्	षष्ठी-तत्पुरुषः,4.3	षष्ठी-तत्पुरुषः,4.3	CP	मृद्-	मृद्-
4.3	भाजने	2.3	--	भाजना{स्त्री;1;द्वि}/भाजना{स्त्री;2;द्वि}/भाजन{नपुं;7;एक}	भाजन{नपुं;7;एक}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7	भाजनों_से	भाजनों_से
5.1	स्थितम्	3.1	स्थितम्	स्थित{पुं;2;एक(ष्था1;क्त;भ्वादिः)}/स्थित{नपुं;1;एक(ष्था1;क्त;भ्वादिः)}/स्थित{नपुं;2;एक(ष्था1;क्त;भ्वादिः)}	स्थित{पुं;2;एक(ष्था1;क्त;भ्वादिः)}	विशेषणम्,1.1	विशेषणम्,1.1	N2	स्थित_को	स्थित_को
6.1	मोच-	4.1	मोच-चोच-दलैः	मोच	मोच	इतरेतर-द्वन्द्वः,6.2	इतरेतर-द्वन्द्वः,6.2	CP	मोच-	मोच-
6.2	चोच-	4.2	--	चोच	चोच	षष्ठी-तत्पुरुषः,6.3	षष्ठी-तत्पुरुषः,6.3	CP	चोच-	चोच-
6.3	दलैः	4.3	--	दल{पुं;3;बहु}/दल{नपुं;3;बहु}	दल{पुं;3;बहु}	सहार्थः,7.1	सहार्थः,7.1#कर्ता,7.1#करणम्,7.1#हेतुः,10.1	N3	दलों_से	दलों_से
7.1	युक्तम्	5.1	युक्तम्	युक्त{पुं;2;एक(युज्1;क्त;दिवादिः)}/युक्त{नपुं;1;एक(युज्1;क्त;दिवादिः)}/युक्त{नपुं;2;एक(युज्1;क्त;दिवादिः)}/युक्त{पुं;2;एक(युज्2;क्त;रुधादिः)}/युक्त{नपुं;1;एक(युज्2;क्त;रुधादिः)}/युक्त{नपुं;2;एक(युज्2;क्त;रुधादिः)}	युक्त{नपुं;2;एक(युज्1;क्त;दिवादिः)}	विशेषणम्,1.1	विशेषणम्,8.2#विशेषणम्,1.1#कर्म,10.1	N2	जोडी	जोडी
8.1	स-	6.1	स-अम्लम्	स	स	अव्ययीभावः,8.2	अव्ययीभावः,8.2	CP	स-	स-
8.2	अम्लम्	6.2	--	अम्ल{पुं;2;एक}/अम्ल{नपुं;1;एक}/अम्ल{नपुं;2;एक}	अम्ल{पुं;2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2	खट्टा	खट्टा
9.1	मृन्मय-	1.1	मृन्मय-शुक्तिभिः	मृत्{मयट्}/मृन्मय	मृत्{मयट्}	षष्ठी-तत्पुरुषः,9.2	षष्ठी-तत्पुरुषः,9.2	CP	मृन्मय-	मृन्मय-
9.2	शुक्तिभिः	1.2	--	शुक्ति{स्त्री;3;बहु}	शुक्ति{स्त्री;3;बहु}	करणम्,10.1	करणम्,10.1	N3	सीपियों_से	सीपियों_से
10.1	(पिबेत्)	10.1	(पिबेत्)	पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	है	है
11.1	.	11.1	.	-	-	-	-	FS		
