index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	प्रावार-	4.1	प्रावार-अजिन-कौशेय-प्रवेणी-कौचव-अस्तृतम्	प्रावार(प्र_आङ्_वृ1;घञ्;स्वादिः)	प्रावार(प्र_आङ्_वृ1;घञ्;स्वादिः)	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP		
1.2	अजिन-	4.2	--	अजिन	अजिन	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	अजिन-	अजिन-
1.3	कौशेय-	4.3	--	कौशेय	कौशेय	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	कौशेय-	कौशेय-
1.4	प्रवेणी-	4.4	--	प्रवेणी	प्रवेणी	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	प्रवेणी-	प्रवेणी-
1.5	कौचव-	4.5	--	-कौचव	-कौचव	तृतीया-तत्पुरुषः,1.6	तृतीया-तत्पुरुषः,1.6	CP	कौचव-	कौचव-
1.6	अस्तृतम्	4.6	--	अस्तृत{नपुं;2;एक}	अस्तृत{नपुं;2;एक}	विशेषणम्,5.1	कर्म,6.1#विशेषणम्,5.1	N2	-	-
2.1	उष्ण-	1.1	उष्ण	उष्ण-	उष्ण-	कर्मधारयः,2.3	कर्मधारयः,2.3	CP	गर्म	गर्म
2.2	स्व-	1.2	स्व-	स्व-	स्व-	षष्ठी-तत्पुरुषः,2.3	षष्ठी-तत्पुरुषः,2.3	CP	अपना	अपना
2.3	भावैः	1.3	भावैः	भाव{पुं;3;बहु(भू1;घञ्;भ्वादिः)}	भाव{पुं;3;बहु(भू1;घञ्;भ्वादिः)}	विशेषणम्,3.1	विशेषणम्,3.1#कर्ता,4.1#हेतुः,6.1#हेतुः,5.1#हेतुः,4.1	N3	भाव	भाव
3.1	लघुभिः	2.1	लघुभिः	लघु{पुं;3;बहु}/लघु{नपुं;3;बहु}/लघु{स्त्री;3;बहु}	लघु{पुं;3;बहु}	कर्ता,4.1	कर्ता,4.1#करणम्,6.1#हेतुः,6.1#हेतुः,5.1#हेतुः,4.1#विशेषणम्,4.1	N3	छोटों_के_द्वारा	छोटों_के_द्वारा
4.1	प्रावृतः	3.1	प्रावृतः	प्र_वृत्1{कर्तरि;लुङ्;म;एक;आत्मनेपदी;भ्वादिः}/प्र_आङ्_वृत्1{कर्तरि{लुङ्;म;एक;आत्मनेपदी;भ्वादिः}/प्रावृत{पुं;1;एक(प्र_आङ्_वृ1;क्त;स्वादिः)}	प्रावृत{पुं;1;एक(प्र_आङ्_वृ1;क्त;स्वादिः)}	कर्ता,6.1	कर्ता,6.1	N1	पहना_हुआ	पहना_हुआ
5.1	शयनम्	5.1	शयनम्	शयन{नपुं;1;एक(शी1;ल्युट्;अदादिः)}/शयन{नपुं;2;एक(शी1;ल्युट्;अदादिः)}	शयन{नपुं;2;एक(शी1;ल्युट्;अदादिः)}	कर्म,6.1	कर्म,6.1#कर्ता,6.1	N2	सोना	सोना
6.1	भजेत्	6.1	भजेत्	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,4.1;सकर्मक	-	KP	भजे	भजे
7.1	.	7.1	.	-	-	-	-	FS		
