index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	कफः	4.1	कफः	कफ{पुं;1;एक}	कफ{पुं;1;एक}	कर्ता,10.1;कर्ता,8.1	कर्ता,10.1	N1	कफ	कफ
2.1	चितः	3.1	चितः	चित्{स्त्री;1;बहु}/चित्{स्त्री;2;बहु}/चित्{स्त्री;5;एक}/चित्{स्त्री;6;एक}/चित्{स्त्री;8;बहु}/चित{पुं;1;एक}/चित{पुं;1;एक(चिञ्;क्त;चुरादिः)}	चित{पुं;1;एक(चिञ्;क्त;चुरादिः)}	विशेषणम्,1.1	विशेषणम्,1.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,1.1#हेतुः5,8.1#कर्म,10.1#कर्म,8.1	N1	चित्_का	चित्_का
3.1	हि	1.1	हि	हि{अव्य}	हि{अव्य}	कारण_द्योतकः,10.1	कारण_द्योतकः,15.1#कारण_द्योतकः,10.1	NA	हि	हि
4.1	शिशिरे	2.1	शिशिरे	शिशिर{पुं;7;एक}/शिशिर{नपुं;7;एक}	शिशिर{पुं;7;एक}	अधिकरणम्,2.1	अधिकरणम्,8.1#अधिकरणम्,2.1	N7	ठंढे_में	ठंढे_में
5.1	वसन्ते	5.1	वसन्ते	वसन्त{पुं;7;एक}	वसन्त{पुं;7;एक}	अधिकरणम्,8.1	अधिकरणम्,8.1	N7	वसन्त_में	वसन्त_में
6.1	अर्क-	6.1	अर्क-अंशु-तापितः	अर्क	अर्क	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP		
6.2	अंशु-	6.2	--	अंशु	अंशु	तृतीया-तत्पुरुषः,6.3	तृतीया-तत्पुरुषः,6.3	CP		
6.3	तापितः	6.3	--	तापित{पुं;1;एक}	तापित{पुं;1;एक}	कर्ता,7.1	विशेषणम्,1.1#कर्ता,8.1#कर्ता,7.1	N1		
7.1	(सन्)	7.1	(सन्)	सत्{पुं;1;एक(अस्2;शतृ_लट्;अदादिः)}	सत्{पुं;1;एक(अस्2;शतृ_लट्;अदादिः)}	वर्तमानसमानकालः,8.1	वर्तमानसमानकालः,8.1	N1		
8.1	हत्वा	9.1	हत्वा	हन्1{अव्य;क्त्वा;अदादिः}	हन्1{अव्य;क्त्वा;अदादिः}	पूर्वकालः,10.1	पूर्वकालः,15.1#पूर्वकालः,10.1	NA	मार_कर	मार_कर
9.1	अग्निम्	8.1	अग्निं	अग्नि{पुं;2;एक}	अग्नि{पुं;2;एक}	कर्म,8.1	कर्म,8.1#मुख्यकर्म,15.1#कर्म,10.1#गौणकर्म,15.1	N2	अग्नि	अग्नि
10.1	कुरुते	11.1	कुरुते	कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तनादिः}	कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तनादिः}	अभिहित_कर्ता,1.1	-	KP	करता_है	करता_है
11.1	रोगान्	10.1	रोगान्	रोग{पुं;2;बहु}	रोग{पुं;2;बहु}	कर्म,10.1	कर्म,10.1#मुख्यकर्म,15.1#गौणकर्म,15.1	N2	रोग	रोग
12.1	अतः	12.1	अतः	अतः{अव्य}	अतः{अव्य}	कार्य_द्योतकः,15.1	कार्य_द्योतकः,15.1	NA	अतः	अतः
13.1	तम्	13.1	तम्	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,15.1	कर्म,15.1#मुख्यकर्म,15.1#गौणकर्म,15.1	N2	वह	वह
14.1	त्वरया	14.1	त्वरया	त्वरा{स्त्री;3;एक}	त्वरा{स्त्री;3;एक}	क्रियाविशेषणम्,15.1	क्रियाविशेषणम्,15.1#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,8.1#करणम्,15.1#हेतुः,15.1	N3	जल्दी_से	जल्दी_से
15.1	जयेत्	15.1	जयेत्	जि1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	जि1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	जीते	जीते
16.1	.	16.1	.	-	-	-	-	FS		
