index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	सूक्ष्मभासुः		सूक्ष्मभासुः	सूक्ष्मभासु{पुं;1;एक}	सूक्ष्मभासु{पुं;1;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N1		
2.1	अ-		अ-	अ-	अ-	नञ्-तत्पुरुषः,2.2	नञ्-तत्पुरुषः,2.2	CP		
2.2	भैरवम्		अभैरवम्	अभैरव{नपुं;1;एक}	अभैरव{नपुं;1;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N1		
3.1	अति-			अति-	अति-	अव्ययीभावः,3.2	अव्ययीभावः,3.2	CP		
3.2	आसन्न-		अत्यासन्न-अतिदूरस्थं	आसन्न-	आसन्न-	समाहार-द्वन्द्वः,3.4	समाहार-द्वन्द्वः,3.4	CP	अत्यासन्न-	अत्यासन्न-
3.3	अति-			अति-	अति-	अव्ययीभावः,3.4	अव्ययीभावः,3.4	CP		
3.4	दूरस्थं		--	दूरस्थं	दूरस्थं	समुच्चितः,5.1	समुच्चितः,5.1	N1	-	-
4.1	विप्रियम्		विप्रियम्	विप्रिय{पुं;2;एक}/विप्रिय{नपुं;1;एक}/विप्रिय{नपुं;2;एक}	विप्रिय{नपुं;1;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N1	अरुचिकर_को	अरुचिकर_को
5.1	विकृतादि		विकृतादि	विकृतादि{नपुं;1;एक]	विकृतादि{नपुं;1;एक]	कर्ता,9.1	कर्ता,9.1	N1	-	-
6.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	समुच्चय_द्योतकः,5.1	NA	और	और
7.1	यद्		यद्	यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}/यत्{नपुं;1;एक}/यत्{नपुं;2;एक}	यद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,5.1;नित्यसम्बन्धः,12.1	विशेषणम्,5.1;नित्यसम्बन्धः,12.1	N1	जो	जो
8.1	अक्ष्णा		अक्ष्णा	अक्षि{नपुं;3;एक}	अक्षि{नपुं;3;एक}	करणम्,9.1	हेतुः,14.1#करणम्,9.1	N3	आँख_से	आँख_से
9.1	वीक्ष्यते		वीक्ष्यते	ईक्ष{कर्मणि;लट्;प्र;एक;आत्मनेपद;भ्वादिः}	ईक्ष{कर्मणि;लट्;प्र;एक;आत्मनेपद;भ्वादिः}	अभिहित_कर्म,10.1	अभिहित_कर्म,10.1	KP	-	-
10.1	रूपम्		रूपम्	रूप{नपुं;1;एक}/रूप{नपुं;2;एक}	रूप{नपुं;1;एक}	कर्म,9.1	कर्ता_बे_वेर्ब्स्,14.1#कर्म,9.1	N1	रूप	रूप
11.1	मिथ्या-		मिथ्या-योगः	मिथ्या	मिथ्या	षष्ठी-तत्पुरुषः,11.2	षष्ठी-तत्पुरुषः,11.2	CP	मिथ्या-	मिथ्या-
11.2	योगः		--	योग{पुं;1;एक}	योग{पुं;1;एक}	विशेषणम्,13.1	विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,4.1#विशेषणम्,13.1#विशेषणम्,12.1#कर्ता_बे_वेर्ब्स्,14.1	N1	योग	योग
12.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,13.1	विशेषणम्,13.1#कर्ता_बे_वेर्ब्स्,14.1	N1	वह	वह
13.1	दारुणः		दारुणः	दारुण{पुं;1;एक}	दारुण{पुं;1;एक}	कर्ता,14.1	विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.2#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,14.1	N1	क्रूर	क्रूर
14.1	(अस्ति)		(अस्ति)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,13.1	अभिहित_कर्ता,13.1	KP	है	है
15.1	.		.	-	-	-	-	FS	-	-
										
