index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	दोष-	1.1	दोष-गत्या	दोष	दोष	षष्ठी-तत्पुरुषः,1.2	षष्ठी-तत्पुरुषः,1.2	CP		
1.2	गत्या	1.2	--	गति{स्त्री;3;एक}	गति{स्त्री;3;एक}	हेतुः,2.1	हेतुः,2.1	N3		
2.1	अतिरिच्यन्ते	4.1	अतिरिच्यन्ते	रिच्{कर्तरि;लट्;प्र;बहु;आत्मनेपद;श्यन्}	रिच्{कर्तरि;लट्;प्र;बहु;आत्मनेपद;श्यन्}	-	-	KP		
3.1	ग्राहि-	3.1	ग्राहि-भेद-आदि-भेदतः	ग्राहि	ग्राहि	इतरेतर-द्वन्द्वः,3.2	इतरेतर-द्वन्द्वः,3.2	CP	ग्राहि-	ग्राहि-
3.2	भेदि-	3.2	--	भेदि	भेदि	बहुव्रीहिः,3.3	बहुव्रीहिः,3.3	CP	भेद-	भेद-
3.3	आदि-	3.3	--	आदि}/आदिन्	आदि	षष्ठी-तत्पुरुषः,3.4	षष्ठी-तत्पुरुषः,3.4	CP	आदि-	आदि-
3.4	भेदतः	3.4	भेदतः	भेद{अव्य;तसिल्}	भेद{अव्य;तसिल्}	क्रियाविशेषणम्,2.1	अपादानम्,2.1#क्रियाविशेषणम्,2.1	NA		
4.1	उपक्रमाः	2.1	उपक्रमा	उपक्रम{पुं;1;बहु}/उपक्रम{पुं;8;बहु}/उपक्रम{पुं;1;बहु(उप_क्रम्1;घञ्;भ्वादिः)}	उपक्रम{पुं;1;बहु}	कर्ता,2.1	कर्ता,2.1	N1		
5.1	न	11.1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,12.1	प्रतिषेधः,2.1#प्रतिषेधः,12.1	NA	नहीं	नहीं
6.1	ते	8.1	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;6;एक}/युष्मद्{सर्वनाम;4;एक}	तद्{सर्वनाम;पुं;1;बहु}	कर्ता,12.1	विशेषणम्,4.1#कर्ता,12.1	N1	वे	वे
7.1	द्वित्वात्	5.1	द्वित्वात्	द्वित्व{नपुं;5;एक}	द्वित्व{नपुं;5;एक}	हेतुः,8.1	हेतुः,2.1#हेतुः,8.1	N5		
8.1	भिन्नाः	6.1	भिन्ना	भिन्न{पुं;1;बहु}/भिन्ना{स्त्री;1;बहु}/भिन्ना{स्त्री;2;बहु}/भिन्न{पुं;8;बहु}/भिन्न{पुं;1;बहु}(भिद्;क्त;रुधादिः)}	भिन्न{पुं;1;बहु}(भिद्;क्त;रुधादिः)}	विशेषणम्,6.1	विशेषणम्,6.1	N1	भिन्न	भिन्न
9.1	अपि	7.1	अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	भी	भी
10.1	गदाः	9.1	गदाः	गद{पुं;1;बहु}/गदा{स्त्री;1;बहु}/गदा{स्त्री;2;बहु}/गद{पुं;8;बहु}/गदा{स्त्री;8;बहु}	गद{पुं;1;बहु}	उपमानम्,6.1	उपमानम्,6.1	N1	कब	कब
11.1	इव	10.1	इव	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,10.1	सम्बन्धः,10.1#उपमान_द्योतकः,10.1	NA	जैसे	जैसे
12.1	(अतिरिच्यन्ते)	12.1	(अतिरिच्यन्ते)	रिच्{कर्तरि;लट्;प्र;बहु;आत्मनेपद;श्यन्}	रिच्{कर्तरि;लट्;प्र;बहु;आत्मनेपद;श्यन्}	-	-	KP		
13.1	.	13.1	.	-	-	-	-	-	-	-
