index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	मज्जा		मज्जा	मज्जा{स्त्री;1;एक}	मज्जा{स्त्री;1;एक}	कर्ता,3.1	सुप्_समुच्चितः,8.1#कर्ता,6.1#कर्ता,3.1	N1	वसा	वसा
2.1	नेत्र-		नेत्र-अङ्ग-गौरवम्	नेत्र	नेत्र	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP	नेत्र-	नेत्र-
2.2	अङ्ग-		--	अङ्ग	अङ्ग	षष्ठी-तत्पुरुषः,2.3	षष्ठी-तत्पुरुषः,2.3	CP	अङ्ग-	अङ्ग-
2.3	गौरवम्		--	गौरव{नपुं;1;एक}/गौरव{नपुं;2;एक}/गौरव{पुं;2;एक}	गौरव{नपुं;2;एक}	कर्म,3.1	सुप्_समुच्चितः,8.1#कर्म,6.1#कर्म,3.1#कर्ता,6.1#कर्ता,3.1	N2	गौरव_को	गौरव_को
3.1	(कुर्यात्)		(कुर्यात्)	कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;तनादिः}	कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;तनादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	करती_है	करती_है
4.1	पर्वसु		पर्वसु	पर्वन्{नपुं;7;बहु}	पर्वन्{नपुं;7;बहु}	अधिकरणम्,6.1	अधिकरणम्,6.1	N7	अङ्गों_में	अङ्गों_में
5.1	स्थूल-		स्थूलमूलानि	स्थूल-	स्थूल-	कर्मधारयः,5.2	कर्मधारयः,5.2	CP		
5.2	मूलानि			स्थूलमूल{नपुं;2;बहु}	स्थूलमूल{नपुं;2;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N2		
6.1	कुर्यात्		कुर्यात्	कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;तनादिः}	कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;तनादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	करे	करे
7.1	कृच्छ्राणि		कृच्छ्राणि	कृच्छ्र{नपुं;1;बहु}/कृच्छ्र{नपुं;2;बहु}/कृच्छ्र{नपुं;8;बहु}	कृच्छ्र{नपुं;2;बहु}	विशेषणम्,8.1	सुप्_समुच्चितः,8.1#विशेषणम्,8.1	N2	कष्	कष्
8.1	अरूंषि		अरूंषि	अरुस्{नपुं;1;बहु}/अरुस्{नपुं;2;बहु}/अरुस्{नपुं;8;बहु}	अरुस्{नपुं;2;बहु}	कर्म,6.1	कर्म,6.1	N2	अरुस्	अरुस्
9.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,8.1	सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1#समुच्चय_द्योतकः,8.1	NA	और	और
10.1	(मज्जा)		(मज्जा)	मज्जा{स्त्री;1;एक}	मज्जा{स्त्री;1;एक}	कर्ता,6.1	कर्ता,6.1	N1		
11.1	.		.	-	-	-	-	FS	-	-
