index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	कुलत्थ-		कुलत्थ-	कुलत्थ-	कुलत्थ-	समाहार-द्वन्द्वः,1.7	समाहार-द्वन्द्वः,1.7	CP	कुलत्थ-	कुलत्थ-
1.2	जूर्ण-		जूर्ण-	जूर्ण-	जूर्ण-	समाहार-द्वन्द्वः,1.7	समाहार-द्वन्द्वः,1.7	CP	जूर्ण-	जूर्ण-
1.3	श्यामाक-		श्यामाक-	श्यामाक-	श्यामाक-	समाहार-द्वन्द्वः,1.7	समाहार-द्वन्द्वः,1.7	CP	श्याम-	श्याम-
1.4	यव-		यव-	यव-	यव-	समाहार-द्वन्द्वः,1.7	समाहार-द्वन्द्वः,1.7	CP	-	-
1.5	मुद्ग-		मुद्ग-	मुद्ग-	मुद्ग-	समाहार-द्वन्द्वः,1.7	समाहार-द्वन्द्वः,1.7	CP		
1.6	मधु-		मधु-	मधु-	मधु-	कर्मधारयः,1.7	कर्मधारयः,1.7	CP	-	-
1.7	उदकम्		उदकम्	उदक{नपुं;2;एक}	उदक{नपुं;2;एक}	कर्म,10.1	कर्म,10.1	N2		
3.1	मस्तु-		मस्तु-दण्ड-आहत-अरिष्ट-चिन्ता-शोधन-जागरम्	मस्तु	मस्तु	समाहार-द्वन्द्वः,3.7	समाहार-द्वन्द्वः,3.7	CP	मस्तु-	मस्तु-
3.2	दण्ड-		--	दण्ड	दण्ड	तृतीया-तत्पुरुषः,3.3	तृतीया-तत्पुरुषः,3.3	CP	दण्डाहत-	दण्डाहत-
3.3	आहत-		--	आहत	आहत	समाहार-द्वन्द्वः,3.7	समाहार-द्वन्द्वः,3.7			
3.4	अरिष्ट-		--	अरिष्ट	अरिष्ट	समाहार-द्वन्द्वः,3.7	समाहार-द्वन्द्वः,3.7	CP	अरिष्ट-	अरिष्ट-
3.5	चिन्ता-		--	चिन्ता	चिन्ता	समाहार-द्वन्द्वः,3.7	समाहार-द्वन्द्वः,3.7	CP	चिन्ता-	चिन्ता-
3.6	शोधन-		--	शोधन(शुध्1;ल्युट्;दिवादिः)	शोधन(शुध्1;ल्युट्;दिवादिः)	समाहार-द्वन्द्वः,3.7	समाहार-द्वन्द्वः,3.7	CP		
3.7	जागरम्		--	जागर{पुं;2;एक}/जागर{नपुं;1;एक}/जागर{नपुं;2;एक}	जागर{पुं;2;एक}	समुच्चितः,1.7	विशेषणम्,9.1#विशेषणम्,8.1#कर्म,6.1#कर्ता,6.1#समुच्चितः,1.7	N2	गुण_को	गुण_को
4.1	मधुना		मधुना	मधु{पुं;3;एक}/मधु{नपुं;3;एक}	मधु{पुं;3;एक}	सहार्थः,5.2	करणम्,6.1#हेतुः,6.1#सहार्थः,5.2	N3	वसन्त_ॠतु_से	वसन्त_ॠतु_से
5.1	त्रि-		त्रि-फलाम्	त्रि	त्रि	समाहार-द्वन्द्वः,5.2	समाहार-द्वन्द्वः,5.2	CP	त्रि	त्रि
5.2	फलाम्		--	फला{स्त्री;2;एक}	फला{स्त्री;2;एक}	कर्म,6.1	कर्म,6.1	N2	फला	फला
6.1	लिह्यात्		लिह्यात्	लिह्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}/लिह्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः}	लिह्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}		-	KP	चाटे	चाटे
7.1	गुडूचीम्		गुडूचीम्	गुडूची{स्त्री;2;एक}	गुडूची{स्त्री;2;एक}	अन्यतरः,5.2	विशेषणम्,5.2#अन्यतरः,5.2	N2	-	-
8.1	अभयाम्		अभयाम्	अभया{स्त्री;2;एक}/अभय{नपुं;1;एक}/अभय{नपुं;2;एक}	अभया{स्त्री;2;एक}	अन्यतरः,5.2	विशेषणम्,5.2#अन्यतरः,5.2	N2	अभय_को	अभय_को
9.1	घनम्		घनम्	घन{पुं;2;एक}/घन{नपुं;1;एक}/घन{नपुं;2;एक}	घन{पुं;2;एक}	अन्यतरः,5.2	विशेषणम्,5.2#अन्यतरः,5.2	N2	दृढ़_को	दृढ़_को
10.1	(इष्यते)		(इष्यते)	इष्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;दिवादिः}/इष्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;तुदादिः}/इष्4{कर्मणि;लट्;प्र;एक;आत्मनेपदी;क्र्यादिः}/इष्यत्{पुं;4;एक(इष्1;शतृ_लट्;दिवादिः)}/इष्यत्{नपुं;4;एक(इष्1;शतृ_लट्;दिवादिः)}	इष्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;दिवादिः}	-	-	KP	-	-
11.1	(स्थूलाय)		(स्थूलाय)	स्थूल{पुं;4;एक}/स्थूल{नपुं;4;एक}	स्थूल{पुं;4;एक}	सम्प्रदानम्,10.1	सम्प्रदानम्,10.1	N4		
12.1	(च)		(च)	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.7	समुच्चय_द्योतकः,1.7	NA		
13.1	(वा)		(वा)	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,5.2	अन्यतर_द्योतकः,5.2	NA		
14.1	.	-	--	-	-	-	-	-	-	-
