index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	सु-	1.1	सु-शीत-तोय-सिक्त-अङ्गः	सु	सु	प्रादि-तत्पुरुषः,1.2	प्रादि-तत्पुरुषः,1.2	CP	सु-	सु-
1.2	शीत-	1.2	--	शीत	शीत	कर्मधारयः,1.3	कर्मधारयः,1.3	CP	शीत-	शीत-
1.3	तोय-	1.3	--	तोय	तोय	तृतीया-तत्पुरुषः,1.4	तृतीया-तत्पुरुषः,1.4	CP	तोय-	तोय-
1.4	सिक्त-	1.4	--	सिक्त(षिच्1;क्त;तुदादिः)	सिक्त(षिच्1;क्त;तुदादिः)	बहुव्रीहिः,1.5	बहुव्रीहिः,1.5	CP		
1.5	अङ्गः	1.5	--	अङ्ग{पुं;1;एक}/अङ्गस्{नपुं;1;एक}/अङ्गस्{नपुं;2;एक}/अङ्गस्{नपुं;8;एक}/अङ्गस्{पुं;8;एक}	अङ्ग{पुं;1;एक}	कर्ता,2.1	कर्म,2.1#कर्ता,2.1	N1	अङ्ग	अङ्ग
2.1	लिह्यात्	4.1	लिह्यात्	लिह्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}/लिह्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः}	लिह्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,1.5	-	KP	चाटे	चाटे
3.1	सक्तून्	3.1	सक्तून्	सक्तु{पुं;2;बहु}	सक्तु{पुं;2;बहु}	कर्म,2.1	कर्म,2.1	N2	सत्तुओं_को	सत्तुओं_को
4.1	स-	2.1	स-र्शकरान्	स-	स-	सहपूर्वपद-व्यधिकरण-बहुव्रीहिः,4.2	सहपूर्वपद-व्यधिकरण-बहुव्रीहिः,4.2	CP		
4.2	र्शकरान्	2.2	--	सर्शकर{पुं;2;बहु}	सर्शकर{पुं;2;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N2		
5.1	.	5.1	.	-	-	-	-	FS		
